temperature,humidity,ph,light_lux,co2_ppm,soil_moisture,crop_type,condition
16.91,80.33,6.75,27824.32,601.94,48.34,Lettuce,warning
14.62,76.31,6.65,32576.18,392.31,78.67,Lettuce,warning
19.17,55.76,6.04,15905.97,757.66,62.56,Lettuce,optimal
19.14,59.82,6.81,14901.39,748.13,50.93,Lettuce,optimal
17.96,74.08,5.91,25547.63,1035.27,37.47,Lettuce,warning
24.29,55.32,6.17,38958.34,1457.19,72.08,Lettuce,warning
18.28,54.12,6.68,23589.01,518.73,58.1,Lettuce,optimal
14.52,84.22,6.43,29585.28,721.47,59.8,Lettuce,warning
19.27,58.84,6.95,33363.49,1419.44,76.54,Lettuce,optimal
20.85,75.51,6.08,16088.59,467.62,51.29,Lettuce,optimal
18.77,58.19,6.88,21395.29,700.04,63.01,Lettuce,optimal
17.31,72.05,6.32,39985.88,1260.94,47.55,Lettuce,optimal
13.95,78.87,6.71,31516.82,1257.79,45.0,Lettuce,warning
17.58,45.67,6.63,28254.47,768.27,46.05,Lettuce,warning
19.79,60.1,6.75,29468.36,1386.39,61.06,Lettuce,optimal
16.59,74.31,6.51,26096.59,1241.65,57.8,Lettuce,optimal
20.82,67.18,5.96,13575.18,444.17,65.41,Lettuce,warning
19.62,60.35,6.67,17782.6,858.06,69.46,Lettuce,optimal
17.69,48.78,6.36,15322.51,1397.12,72.4,Lettuce,warning
18.54,76.81,6.78,15035.84,1368.86,59.95,Lettuce,optimal
23.06,74.8,6.14,13777.36,655.0,53.11,Lettuce,optimal
20.35,76.66,5.96,24788.35,851.19,47.52,Lettuce,warning
15.39,55.86,7.02,19649.84,1002.21,69.98,Lettuce,warning
21.19,80.31,6.86,17698.8,943.82,49.54,Lettuce,warning
18.39,52.82,6.74,24842.44,417.44,47.45,Lettuce,optimal
23.58,58.06,6.24,24987.48,1484.47,49.02,Lettuce,optimal
22.19,69.89,6.31,31744.72,831.1,63.76,Lettuce,optimal
22.07,61.6,6.22,34792.92,745.68,48.87,Lettuce,optimal
15.49,66.6,6.9,10507.8,949.88,47.05,Lettuce,optimal
21.19,53.71,6.66,21234.61,1433.95,41.72,Lettuce,optimal
14.92,54.6,6.95,36125.36,666.19,68.6,Lettuce,warning
24.87,65.97,6.38,16923.04,505.04,73.96,Lettuce,warning
21.83,68.87,6.39,20805.72,1222.31,76.82,Lettuce,optimal
21.74,72.24,6.83,12648.35,596.12,76.64,Lettuce,optimal
20.91,52.66,6.11,30263.59,409.34,47.06,Lettuce,optimal
17.81,69.98,6.4,17166.08,1181.76,51.88,Lettuce,optimal
19.31,63.99,6.62,35593.77,1110.12,63.97,Lettuce,optimal
16.37,59.2,6.42,17454.12,1446.96,53.51,Lettuce,optimal
24.46,66.84,6.91,24887.62,1030.99,61.39,Lettuce,warning
16.55,75.1,6.22,11036.95,1122.38,48.62,Lettuce,optimal
25.01,80.49,6.53,21145.35,398.56,76.66,Lettuce,warning
16.28,75.43,7.09,35431.15,709.12,53.79,Lettuce,warning
22.98,65.56,5.97,26819.02,1422.27,70.25,Lettuce,warning
21.83,52.43,6.75,38733.8,527.62,63.73,Lettuce,optimal
23.92,69.48,6.52,31267.89,756.09,51.08,Lettuce,optimal
23.92,74.12,7.13,37405.47,945.48,61.34,Lettuce,warning
21.72,71.59,6.69,33445.29,1350.22,51.32,Lettuce,optimal
17.75,53.16,6.63,10845.76,898.94,62.51,Lettuce,optimal
17.04,64.17,6.33,11677.04,1301.92,54.75,Lettuce,optimal
15.51,68.47,6.69,17287.43,1066.28,41.68,Lettuce,optimal
15.5,65.39,6.53,28119.56,1165.4,78.29,Lettuce,optimal
16.91,60.37,6.7,17794.59,894.78,42.94,Lettuce,optimal
14.89,74.33,6.98,29945.57,845.09,51.33,Lettuce,warning
18.15,53.73,6.52,31085.68,1154.35,52.91,Lettuce,optimal
23.69,73.82,6.53,27622.83,818.15,48.6,Lettuce,optimal
18.92,69.07,5.99,13518.1,415.5,42.94,Lettuce,warning
23.16,73.52,6.43,13115.59,933.87,57.72,Lettuce,optimal
16.36,61.11,6.57,28808.56,1115.88,40.45,Lettuce,optimal
19.97,71.34,6.71,35400.0,1120.34,45.78,Lettuce,optimal
16.26,68.59,5.93,27394.45,1450.28,65.24,Lettuce,warning
17.98,66.03,6.37,27142.89,1407.6,60.5,Lettuce,optimal
24.46,84.71,5.83,12038.91,482.07,39.18,Lettuce,warning
15.59,71.24,6.08,20428.09,1326.14,38.52,Lettuce,warning
24.63,59.4,6.16,30830.16,1087.89,75.43,Lettuce,warning
21.5,72.8,6.08,14622.87,1182.97,71.36,Lettuce,optimal
23.15,58.25,6.34,33224.32,797.38,78.1,Lettuce,optimal
25.18,60.19,7.01,32458.81,490.09,75.48,Lettuce,warning
23.11,73.82,6.56,36826.43,804.76,41.26,Lettuce,optimal
25.18,46.11,6.34,38547.22,1418.97,62.79,Lettuce,warning
21.54,66.68,6.43,19807.02,1161.08,73.36,Lettuce,optimal
22.14,74.35,5.81,24285.15,492.73,62.03,Lettuce,warning
17.54,70.94,6.54,12770.79,576.88,69.64,Lettuce,optimal
20.48,46.87,6.17,30332.33,488.57,73.71,Lettuce,warning
20.06,46.75,6.05,38615.28,825.53,58.24,Lettuce,warning
22.37,74.57,7.35,32748.84,829.87,43.79,Lettuce,warning
22.64,71.53,6.59,38126.34,511.57,57.29,Lettuce,optimal
15.39,61.8,6.01,13581.14,536.58,65.94,Lettuce,optimal
22.7,71.37,7.06,21128.72,737.28,77.14,Lettuce,warning
17.52,85.06,6.17,38619.86,439.07,75.53,Lettuce,warning
19.69,80.6,5.97,26003.1,1442.17,61.02,Lettuce,warning
20.72,64.79,6.51,28324.34,1057.39,75.05,Lettuce,optimal
15.31,54.81,7.06,36215.55,916.98,64.28,Lettuce,warning
18.33,53.12,6.21,20174.25,1038.54,45.21,Lettuce,optimal
24.0,76.07,6.83,25614.66,783.51,74.61,Lettuce,optimal
20.47,54.86,6.71,34362.63,1442.07,68.05,Lettuce,optimal
18.61,61.99,6.91,35816.4,411.26,35.3,Lettuce,warning
18.9,82.31,7.03,13678.33,1054.17,55.27,Lettuce,warning
23.86,75.65,7.02,24950.28,869.43,48.68,Lettuce,warning
18.24,77.52,6.99,39809.16,1532.11,62.09,Lettuce,warning
21.51,78.93,6.89,17742.13,915.99,45.31,Lettuce,optimal
23.27,69.47,6.29,30769.1,1086.87,53.24,Lettuce,optimal
15.17,71.09,6.14,33652.06,989.39,72.19,Lettuce,optimal
21.75,66.0,6.45,22323.08,581.19,42.0,Lettuce,optimal
21.25,72.5,6.96,16690.33,540.19,38.44,Lettuce,warning
18.45,66.58,6.02,23237.25,1404.51,52.76,Lettuce,optimal
20.15,72.24,6.21,28317.7,1349.86,78.68,Lettuce,optimal
15.92,78.56,6.89,19263.1,922.03,79.08,Lettuce,optimal
